time,area0,num0
53,212649,623
54,28696,623
55,115,623
56,90,623
57,87,623
58,66,623
59,64,623
0,3405,623
1,79931,623
2,390655,623
3,390655,623
4,597678,623
5,499030,623
6,669730,623
7,635014,623
8,731555,623
9,610105,623
10,206486,623
11,68977,623
12,8806,623
13,995,623
14,363,623
15,155,623
16,96,623
17,98,623
18,92,623
19,75,623
20,71,623
21,3525,623
22,99743,623
23,465949,623
24,633925,623
25,593174,623
26,530603,623
27,658503,623
28,779035,623
29,651701,623
30,319275,623
31,121464,623
32,9024,623
33,782,623
34,276,623
35,147,623
36,90,623
37,86,623
38,77,623
39,82,623
40,80,623
41,21152,623
42,121275,623
43,483254,623
44,541535,623
45,231324,623
46,47009,623
47,464616,623
48,682678,623
49,669004,623
50,295084,623
51,62219,623
52,5393,623
53,761,623
54,342,623
55,161,623
56,82,623
57,66,623
58,44,623
59,25,623
0,42,623
1,20177,623
2,253195,623
3,604676,623
4,725928,623
5,454002,623
6,203912,623
7,392094,623
8,647117,623
9,794980,623
10,285342,623
11,56181,623
12,5446,623
13,715,623
14,264,623
15,124,623
16,84,623
17,99,623
18,109,623
19,107,623
20,95,623
21,20826,623
22,268102,623
23,613413,623
24,696978,623
25,696751,623
26,512704,623
27,647545,623
28,868891,623
29,724506,623
30,241365,623
31,45124,623
32,3906,623
33,650,623
34,230,623
35,110,623
36,92,623
37,95,623
38,87,623
39,62,623
40,91,623
41,20552,623
42,260010,623
43,698712,623
44,692885,623
45,618268,623
46,625027,623
47,884729,623
48,771337,623
49,537466,623
50,236017,623
51,54974,623
52,4237,623
53,735,623
54,265,623
55,121,623
56,88,623
57,81,623
58,76,623
59,62,623
0,248,623
1,23799,623
2,265905,623
3,662490,623
4,749452,623
5,564971,623
6,646809,623
7,696677,623
8,734458,623
9,626988,623
10,183930,623
11,38790,623
12,3977,623
13,661,623
14,194,623
15,104,623
16,100,623
17,103,623
18,108,623
19,79,623
20,250,623
21,25940,623
22,279395,623
23,591600,623
24,358086,623
25,99602,623
26,575190,623
27,698864,623
28,774862,623
29,555884,623
30,149108,623
31,42423,623
32,3954,623
33,702,623
34,220,623
35,69,623
36,63,623
37,92,623
38,74,623
39,60,623
40,182,623
41,25854,623
42,287769,623
43,772164,623
44,870518,623
45,482364,623
46,632723,623
47,844628,623
48,796928,623
49,406012,623
50,214334,623
51,43794,623
52,3004,623
53,649,623
54,230,623
55,111,623
56,89,623
57,83,623
58,84,623
59,67,623
0,212,623
1,28588,623
2,269939,623
3,678340,623
4,741329,623
5,341284,623
6,528565,623
7,578185,623
8,630202,623
9,389364,623
10,118936,623
11,20558,623
12,3412,623
13,472,623
14,185,623
15,69,623
16,96,623
17,94,623
18,88,623
19,83,623
20,3001,623
21,78258,623
22,401667,623
23,713447,623
24,706240,623
25,330639,623
26,409375,623
27,358532,623
28,238337,623
29,115657,623
30,91114,623
31,16421,623
32,1877,623
33,424,623
34,181,623
35,101,623
36,42,623
37,33,623
38,56,623
39,45,623
40,2970,623
41,84965,623
42,356460,623
43,720825,623
44,737046,623
45,387304,623
46,750863,623
47,694285,623
48,705802,623
49,317249,623
50,89693,623
51,15794,623
52,2006,623
53,422,623
54,189,623
55,121,623
56,99,623
57,88,623
58,92,623
59,84,623
0,2615,623
1,78509,623
2,369601,623
3,625420,623
4,502261,623
5,475031,623
6,835376,623
7,965930,623
8,727929,623
9,202200,623
10,59877,623
11,11464,623
12,1541,623
13,417,623
14,154,623
15,101,623
16,91,623
17,101,623
18,97,623
19,81,623
20,2894,623
21,84703,623
22,449609,623
23,768685,623
24,630695,623
25,316215,623
26,353473,623
27,273350,623
28,417381,623
29,335394,623
30,147346,623
31,14728,623
32,1605,623
33,386,623
34,137,623
35,95,623
36,102,623
37,93,623
38,74,623
39,64,623
40,3192,623
41,94159,623
42,461611,623
43,697169,623
44,300709,623
45,87932,623
46,82081,623
47,86962,623
48,81847,623
49,81681,623
50,73396,623
51,10302,623
52,984,623
53,417,623
54,101,623
55,65,623
56,67,623
57,67,623
58,63,623
59,44,623
0,3140,623
1,91160,623
2,349352,623
3,603719,623
4,603719,623
5,458980,623
6,365478,623
7,335308,623
8,523095,623
9,569250,623
10,377316,623
11,117473,623
12,9590,623
13,890,623
14,388,623
15,115,623
16,65,623
17,58,623
18,50,623
19,43,623
20,39,623
21,3731,623
22,102542,623
23,483261,623
24,763826,623
25,383117,623
26,225192,623
27,585208,623
28,688701,623
29,700739,623
30,376568,623
31,121005,623
32,7937,623
33,690,623
34,256,623
35,103,623
36,44,623
37,48,623
38,89,623
39,88,623
40,66,623
41,19231,623
42,126837,623
43,483518,623
44,623228,623
45,424072,623
46,692800,623
47,391508,623
48,393944,623
49,217622,623
50,78418,623
51,27123,623
52,5502,623
53,713,623
54,271,623
55,142,623
56,99,623
57,98,623
58,105,623
59,106,623
0,96,623
1,19479,623
2,207641,623
3,420064,623
4,498332,623
5,297743,623
6,394597,623
7,737173,623
8,763560,623
9,535286,623
10,176444,623
11,44788,623
12,4934,623
13,675,623
14,234,623
15,132,623
16,100,623
17,86,623
18,62,623
19,51,623
20,49,623
21,18286,623
22,234049,623
23,664293,623
24,662835,623
25,388486,623
26,159159,623
27,333142,623
28,545831,623
29,769930,623
30,246672,623
31,30628,623
32,4215,623
33,735,623
34,212,623
35,136,623
36,86,623
37,106,623
38,110,623
39,90,623
40,99,623
41,20029,623
42,256971,623
43,706902,623
44,830018,623
45,541410,623
46,471992,623
47,388186,623
48,306005,623
49,169546,623
50,72117,623
51,33971,623
52,4287,623
53,718,623
54,223,623
55,107,623
56,84,623
57,96,623
58,101,623
59,93,623
0,222,623
1,22685,623
2,259406,623
3,620529,623
4,553491,623
5,283541,623
6,452807,623
7,672447,623
8,556368,623
9,645456,623
10,282921,623
11,52225,623
12,3989,623
13,655,623
14,228,623
15,98,623
16,98,623
17,98,623
18,93,623
19,77,623
20,233,623
21,24176,623
22,270090,623
23,566490,623
24,853758,623
25,367658,623
26,230947,623
27,256249,623
28,348505,623
29,255727,623
30,102234,623
31,24180,623
32,4607,623
33,635,623
34,252,623
35,114,623
36,97,623
37,104,623
38,102,623
39,92,623
40,197,623
41,23276,623
42,191328,623
43,292539,623
44,573979,623
45,473636,623
46,602214,623
47,519191,623
48,531479,623
49,335919,623
50,122162,623
51,27887,623
52,3307,623
53,490,623
54,193,623
55,68,623
56,55,623
57,87,623
58,101,623
59,92,623
0,2850,623
1,83349,623
2,403534,623
3,668032,623
4,614115,623
5,180583,623
6,103827,623
7,106121,623
8,100981,623
9,64651,623
10,55276,623
11,10440,623
12,3883,623
13,386,623
14,137,623
15,80,623
16,56,623
17,55,623
18,55,623
19,51,623
20,2952,623
21,86934,623
22,341870,623
23,587382,623
24,398260,623
25,122081,623
26,211805,623
27,631188,623
28,706582,623
29,467399,623
30,113676,623
31,12739,623
32,1623,623
33,472,623
34,180,623
35,74,623
36,43,623
37,44,623
38,42,623
39,35,623
40,2733,623
41,84732,623
42,412741,623
43,523109,623
44,476116,623
45,379851,623
46,666037,623
47,657563,623
48,742235,623
49,343697,623
50,100045,623
51,13334,623
52,1238,623
53,420,623
54,151,623
55,86,623
56,76,623
57,88,623
58,89,623
59,69,623
0,3068,623
1,91422,623
2,445649,623
3,806703,623
4,740639,623
5,628861,623
6,662457,623
7,801945,623
8,616698,623
9,226421,623
10,45050,623
11,11662,623
12,1338,623
13,314,623
14,138,623
15,85,623
16,95,623
17,116,623
18,106,623
19,89,623
20,2909,623
21,85441,623
22,429250,623
23,489147,623
24,344469,623
25,219374,623
26,210143,623
27,608099,623
28,490969,623
29,284282,623
30,151949,623
31,11716,623
32,942,623
33,361,623
34,133,623
35,87,623
36,88,623
37,92,623
38,93,623
39,78,623
40,2846,623
41,84006,623
42,323984,623
43,499516,623
44,464704,623
45,742856,623
46,764633,623
47,764633,623
48,702499,623
49,604195,623
50,434822,623
51,78086,623
52,9261,623
53,844,623
54,375,623
55,132,623
56,72,623
57,87,623
58,82,623
59,70,623
0,65,623
1,3149,623
2,90030,623
3,463815,623
4,743390,623
5,682721,623
6,634715,623
7,643736,623
8,779670,623
9,789180,623
10,433556,623
11,128945,623
12,8457,623
13,728,623
14,293,623
15,120,623
16,86,623
17,84,623
18,88,623
19,99,623
20,89,623
21,19831,623
22,118673,623
23,470627,623
24,619248,623
25,520135,623
26,567832,623
27,673669,623
28,528789,623
29,376229,623
30,104523,623
31,52006,623
32,5117,623
33,715,623
34,294,623
35,147,623
36,103,623
37,119,623
38,102,623
39,98,623
40,60,623
41,20476,623
42,249587,623
43,550211,623
44,660874,623
45,430138,623
46,474198,623
47,460012,623
48,255470,623
49,191235,623
50,139907,623
51,53736,623
52,5207,623
53,798,623
54,265,623
55,130,623
56,78,623
57,49,623
58,36,623
59,33,623
0,52,623
1,19053,623
2,237237,623
3,543263,623
4,625809,623
5,424809,623
6,499003,623
7,726664,623
8,762467,623
9,446422,623
10,244942,623
11,53771,623
12,4163,623
13,644,623
14,249,623
15,122,623
16,74,623
17,70,623
18,72,623
19,82,623
20,92,623
21,17832,623
22,238830,623
23,640305,623
24,657776,623
25,214751,623
26,412126,623
27,639410,623
28,861931,623
29,746032,623
30,234014,623
31,43226,623
32,3985,623
33,705,623
34,209,623
35,107,623
36,80,623
37,93,623
38,102,623
39,90,623
40,182,623
41,25156,623
42,281897,623
